每个业务局点对应的一个业务产品,_Upgrade_Package_Affil_Catalog
应用市场动态布局详情协议,Hispace_Schema
BBCODE标志,_BBCODE_Flg
华为会员等级代码,_UP_Rank_Cd
Launcher,_Launcher
portal端,_Portal
内置存储配置,_ROM
运行内存配置,_RAM
华为帐号管理,_Oobe
MD5校验码,_MD5
产品开发团队,_PDT
用户访问编码,_Logon_Id
html标志,_HTML_Flag
客户端时间分,_Client_Time_Minute
设备编号尾号,_IMEI_End
VIP套餐,_VIP
移动国家码,_MCC
移动网络码,_MNC
设备唯一号,_Did
云服务部门,_Spdt
内容提供商,_Cp
WLAN版,_WLAN
FLASH,_FLASH
visit,_Vistit
开发者应用,_Dev_App
平台版本号,_Buildver
MAC地址,_MAC_Addr
DRM类型,_DRM_Type
img标志,_IMG_Flag
用户JID,_User_JID
按版本管理,_Ver_Mangm
应用版本号,_App_Ver_Num
ARPPU,_ARPPU
Banner,_Banner
浏览量为1,_View_Cnt_One
到访用户数,_Visit_Users
华为帐号,_UP
操作系统,_OS
QQ帐号,_QQ
社交论坛,_SNS
logo,_Log
最近一次,_Last
PLMN,_PLMN
HOTA,_HOTA
EMUI,_EMUI
设备编号,_IMEI
HTTP,_HTTP
开机向导,_Startupguide
兴趣爱好,_Hobby
微博帐号,_Weibo
电子邮箱,_Email
终端设备,_Device
微信帐号,_Wechat
行政区划,_Region
服务器侧,_Server
解决方案,_Soluti
华为直客,_Direct
应用市场,_Hispace
日期时间,_DTtime
华为视频,_Hwmovie
生活服务,_Service
电视型号,_TVmodel
IP地址,_IP_Addr
QC标志,_QC_Flag
荣耀钱包,_Honr_Pkg
互相推送,_Push_Oth
非结构化,_Non_Stru
新奇好玩,_Noveltyfun
积分类型,_Integ_Type
等效价格,_Equi_Price
卡券图标,Coupon_Logo
亲情关怀,_Family_Care
设备型号,_Device_Name
外部型号,_Device_Name
内部型号,_Inside_Name
邮政编码,_Postal_Code
子网掩码,_Sub_Net_Mask
阿里旺旺,_Ali_Wangwang
云文件夹,_CFolder
卡券通栏,Coupon_Banner
榜单位置,_List_Position
游戏区服,_Game_Area_Serv
移动固网,_Mobile_Fix_Net
自我介绍,_Introduce_Myself
热搜补全,_Hot_Search_Compl
手机找回,_Phonefind
发票台头,_Invoice_Title
资格配置,_Qconf
留存分区,_Pt_Retain
精品,_Cptv_Pro
插播广告,_Spot_Adv
上床时间,_Bedtime
入睡时间,_Fall_Asleep_Time
批次增发,_Bat_Inc_Issued
小时分区,_Pt_H
类型分区,_Pt_Type
一键清空,_Onekey_Empty
Oobe,_Oobe
IMSI,_IMSI
ARPU,_ARPU
到访人数,_Visitors
主叫号码,_Calling_Num
被叫号码,_Called_Num
MW端,_MW
30天,_30
1天,_1
2天,_2
3天,_3
PC端,_PC
参与者,_Pty
ROM,_ROM
NFC,_NFC
第三方,_3rd
VIP,_VIP
版本号,_Ver_Num
局域网,_LAN
CTR,_CTR
rtb,_Rtb
广告位,_Slot
进销存,_TCSM
上下集,_Sets
所有者,_Owner
点击量,_Click
第一次,_First
商户侧,_Merch
支付宝,_Alipay
帐号数,_Up_Ids
修改者,_Editor
提供方,_Provid
客户端,_Client
服务器,_Server
服务端,_Server
发送方,_Sender
发起方,_Initor
播放器,_Player
开发者,_Dev_Up
接收方,_Recver
主题帖,_Thread
可用性,_Enable
运营商,_Carrier
预览图,_Preview
修改人,_Updater
天际通,_Skytone
审核人,_Auditor
清晰度,_Clarity
浏览器,_Browser
节假日,_Holiday
合作方,_Partner
广告栏,_Adv_Col
管理员,_Manager
发起人,_Sponsor
二维码,_QR_Code
待处理,_Pending
创建者,_Creator
创建人,_Creater
安装包,_Package
万流客,_Vamaker
负一屏,_Hiboard
子类型,_Sub_type
制片商,_Producer
优先级,_Priority
提供者,_Provider
提供商,_Provider
审批人,_Approver
身份证,_Identity
设计者,_Designer
卡路里,_Calories
关键字,_Keywords
关键词,_Key_Word
副标题,_Subtitle
端口号,_Port_Num
操作人,_Operator
百分比,_Perctage
标签名,_Tag_Name
发卡行,_Iss_Bank
可见性,_Visiblty
错误码,_Err_Code
供应商,_Supplier
自定义,_Customize
直方图,_Histogram
缩略图,_Thumbnail
收藏夹,_Favorites
